variable,region,Source,Series,year,value,Unit,RID
Outflow to sea and net extract,MARLBOROUGH,NIWA,Annual June Year,2002,9941,Mm3,18
Outflow to sea and net extract,SOUTH_ISLAND,NIWA,Annual June Year,2002,282347,Mm3,19
Outflow to sea and net extract,NEW_ZEALAND,NIWA,Annual June Year,2002,398321,Mm3,20
Precipitation,NORTHLAND,NIWA,Annual June Year,2002,23161,Mm3,1
Precipitation,AUCKLAND,NIWA,Annual June Year,2002,7101,Mm3,2
Precipitation,WAIKATO,NIWA,Annual June Year,2002,35682,Mm3,3
Precipitation,BAY_OF_PLENTY,NIWA,Annual June Year,2002,26195,Mm3,4
Precipitation,GISBORNE,NIWA,Annual June Year,2002,17787,Mm3,5
Precipitation,HAWKES_BAY,NIWA,Annual June Year,2002,20827,Mm3,6
Precipitation,TARANAKI,NIWA,Annual June Year,2002,14336,Mm3,7
Precipitation,MANAWATU_WHANGANUI,NIWA,Annual June Year,2002,32973,Mm3,8
Precipitation,WELLINGTON,NIWA,Annual June Year,2002,14994,Mm3,9
Precipitation,NORTH_ISLAND,NIWA,Annual June Year,2002,193056,Mm3,10
Precipitation,WEST_COAST,NIWA,Annual June Year,2002,140844,Mm3,12
Precipitation,CANTERBURY,NIWA,Annual June Year,2002,65063,Mm3,13
Precipitation,OTAGO,NIWA,Annual June Year,2002,36664,Mm3,14
Precipitation,SOUTHLAND,NIWA,Annual June Year,2002,68048,Mm3,15
Precipitation,TASMAN,NIWA,Annual June Year,2002,22484,Mm3,16
Precipitation,NELSON,NIWA,Annual June Year,2002,782,Mm3,17
Precipitation,MARLBOROUGH,NIWA,Annual June Year,2002,16030,Mm3,18
Precipitation,SOUTH_ISLAND,NIWA,Annual June Year,2002,349914,Mm3,19
Precipitation,NEW_ZEALAND,NIWA,Annual June Year,2002,542970,Mm3,20
Total Change in Storage,NORTHLAND,NIWA,Annual June Year,2002,351,Mm3,1
Total Change in Storage,AUCKLAND,NIWA,Annual June Year,2002,72,Mm3,2
Total Change in Storage,WAIKATO,NIWA,Annual June Year,2002,1045,Mm3,3
Total Change in Storage,BAY_OF_PLENTY,NIWA,Annual June Year,2002,333,Mm3,4
Total Change in Storage,GISBORNE,NIWA,Annual June Year,2002,338,Mm3,5
Total Change in Storage,HAWKES_BAY,NIWA,Annual June Year,2002,132,Mm3,6
Total Change in Storage,TARANAKI,NIWA,Annual June Year,2002,55,Mm3,7
Total Change in Storage,MANAWATU_WHANGANUI,NIWA,Annual June Year,2002,447,Mm3,8
Total Change in Storage,WELLINGTON,NIWA,Annual June Year,2002,289,Mm3,9
Total Change in Storage,NORTH_ISLAND,NIWA,Annual June Year,2002,3062,Mm3,10
Total Change in Storage,WEST_COAST,NIWA,Annual June Year,2002,-1048,Mm3,12
Total Change in Storage,CANTERBURY,NIWA,Annual June Year,2002,2865,Mm3,13
Total Change in Storage,OTAGO,NIWA,Annual June Year,2002,970,Mm3,14
Total Change in Storage,SOUTHLAND,NIWA,Annual June Year,2002,620,Mm3,15
Total Change in Storage,TASMAN,NIWA,Annual June Year,2002,577,Mm3,16
Total Change in Storage,NELSON,NIWA,Annual June Year,2002,6,Mm3,17
Total Change in Storage,MARLBOROUGH,NIWA,Annual June Year,2002,290,Mm3,18
Total Change in Storage,SOUTH_ISLAND,NIWA,Annual June Year,2002,4281,Mm3,19
Total Change in Storage,NEW_ZEALAND,NIWA,Annual June Year,2002,7343,Mm3,20
Total Inflows,NORTHLAND,NIWA,Annual June Year,2002,23163,Mm3,1
Total Inflows,AUCKLAND,NIWA,Annual June Year,2002,7107,Mm3,2
Total Inflows,WAIKATO,NIWA,Annual June Year,2002,35729,Mm3,3
Total Inflows,BAY_OF_PLENTY,NIWA,Annual June Year,2002,31308,Mm3,4
Total Inflows,GISBORNE,NIWA,Annual June Year,2002,20767,Mm3,5
Total Inflows,HAWKES_BAY,NIWA,Annual June Year,2002,22169,Mm3,6
Total Inflows,TARANAKI,NIWA,Annual June Year,2002,14340,Mm3,7
Total Inflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2002,32995,Mm3,8
Total Inflows,WELLINGTON,NIWA,Annual June Year,2002,15037,Mm3,9
Total Inflows,WEST_COAST,NIWA,Annual June Year,2002,148260,Mm3,12
Total Inflows,CANTERBURY,NIWA,Annual June Year,2002,75302,Mm3,13
Total Inflows,OTAGO,NIWA,Annual June Year,2002,50883,Mm3,14
Total Inflows,SOUTHLAND,NIWA,Annual June Year,2002,68117,Mm3,15
Total Inflows,TASMAN,NIWA,Annual June Year,2002,23905,Mm3,16
Total Inflows,NELSON,NIWA,Annual June Year,2002,786,Mm3,17
Total Inflows,MARLBOROUGH,NIWA,Annual June Year,2002,24487,Mm3,18
Total Outflows,NORTHLAND,NIWA,Annual June Year,2002,22812,Mm3,1
Total Outflows,AUCKLAND,NIWA,Annual June Year,2002,7035,Mm3,2
Total Outflows,WAIKATO,NIWA,Annual June Year,2002,34684,Mm3,3
Total Outflows,BAY_OF_PLENTY,NIWA,Annual June Year,2002,30975,Mm3,4
Total Outflows,GISBORNE,NIWA,Annual June Year,2002,20429,Mm3,5
Total Outflows,HAWKES_BAY,NIWA,Annual June Year,2002,22036,Mm3,6
Total Outflows,TARANAKI,NIWA,Annual June Year,2002,14285,Mm3,7
Total Outflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2002,32548,Mm3,8
Total Outflows,WELLINGTON,NIWA,Annual June Year,2002,14748,Mm3,9
Total Outflows,WEST_COAST,NIWA,Annual June Year,2002,149308,Mm3,12
Total Outflows,CANTERBURY,NIWA,Annual June Year,2002,72436,Mm3,13
Total Outflows,OTAGO,NIWA,Annual June Year,2002,49913,Mm3,14
Total Outflows,SOUTHLAND,NIWA,Annual June Year,2002,67497,Mm3,15
Total Outflows,TASMAN,NIWA,Annual June Year,2002,23328,Mm3,16
Total Outflows,NELSON,NIWA,Annual June Year,2002,780,Mm3,17
Total Outflows,MARLBOROUGH,NIWA,Annual June Year,2002,24197,Mm3,18
change in Groundwater,NORTHLAND,GNS,Annual June Year,2002,212,Mm3,1
change in Groundwater,AUCKLAND,GNS,Annual June Year,2002,54,Mm3,2
change in Groundwater,WAIKATO,GNS,Annual June Year,2002,102,Mm3,3
change in Groundwater,BAY_OF_PLENTY,GNS,Annual June Year,2002,34,Mm3,4
change in Groundwater,GISBORNE,GNS,Annual June Year,2002,0,Mm3,5
change in Groundwater,HAWKES_BAY,GNS,Annual June Year,2002,0,Mm3,6
change in Groundwater,TARANAKI,GNS,Annual June Year,2002,-70,Mm3,7
change in Groundwater,MANAWATU_WHANGANUI,GNS,Annual June Year,2002,270,Mm3,8
change in Groundwater,WELLINGTON,GNS,Annual June Year,2002,219,Mm3,9
change in Groundwater,NORTH_ISLAND,GNS,Annual June Year,2002,821,Mm3,10
change in Groundwater,WEST_COAST,GNS,Annual June Year,2002,51,Mm3,12
change in Groundwater,CANTERBURY,GNS,Annual June Year,2002,2026,Mm3,13
change in Groundwater,OTAGO,GNS,Annual June Year,2002,-152,Mm3,14
change in Groundwater,SOUTHLAND,GNS,Annual June Year,2002,228,Mm3,15
change in Groundwater,TASMAN,GNS,Annual June Year,2002,462,Mm3,16
change in Groundwater,NELSON,GNS,Annual June Year,2002,0,Mm3,17
change in Groundwater,MARLBOROUGH,GNS,Annual June Year,2002,44,Mm3,18
change in Groundwater,SOUTH_ISLAND,GNS,Annual June Year,2002,2659,Mm3,19
change in Groundwater,NEW_ZEALAND,GNS,Annual June Year,2002,3480,Mm3,20
Change in Ice Volume,NORTHLAND,NIWA,Annual June Year,2003,,Mm3,1
Change in Ice Volume,AUCKLAND,NIWA,Annual June Year,2003,,Mm3,2
Change in Ice Volume,WAIKATO,NIWA,Annual June Year,2003,0,Mm3,3
Change in Ice Volume,BAY_OF_PLENTY,NIWA,Annual June Year,2003,,Mm3,4
Change in Ice Volume,GISBORNE,NIWA,Annual June Year,2003,,Mm3,5
Change in Ice Volume,HAWKES_BAY,NIWA,Annual June Year,2003,,Mm3,6
Change in Ice Volume,TARANAKI,NIWA,Annual June Year,2003,,Mm3,7
Change in Ice Volume,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,1,Mm3,8
Change in Ice Volume,WELLINGTON,NIWA,Annual June Year,2003,,Mm3,9
Change in Ice Volume,NORTH_ISLAND,NIWA,Annual June Year,2003,2,Mm3,10
Change in Ice Volume,WEST_COAST,NIWA,Annual June Year,2003,578,Mm3,12
Change in Ice Volume,CANTERBURY,NIWA,Annual June Year,2003,737,Mm3,13
Change in Ice Volume,OTAGO,NIWA,Annual June Year,2003,82,Mm3,14
Change in Ice Volume,SOUTHLAND,NIWA,Annual June Year,2003,25,Mm3,15
Change in Ice Volume,TASMAN,NIWA,Annual June Year,2003,,Mm3,16
Change in Ice Volume,NELSON,NIWA,Annual June Year,2003,,Mm3,17
Change in Ice Volume,MARLBOROUGH,NIWA,Annual June Year,2003,0,Mm3,18
Change in Ice Volume,SOUTH_ISLAND,NIWA,Annual June Year,2003,1422,Mm3,19
Change in Ice Volume,NEW_ZEALAND,NIWA,Annual June Year,2003,1423,Mm3,20
Change in Snow,NORTHLAND,NIWA,Annual June Year,2003,0,Mm3,1
Change in Snow,AUCKLAND,NIWA,Annual June Year,2003,0,Mm3,2
Change in Snow,WAIKATO,NIWA,Annual June Year,2003,-2,Mm3,3
Change in Snow,BAY_OF_PLENTY,NIWA,Annual June Year,2003,0,Mm3,4
Change in Snow,GISBORNE,NIWA,Annual June Year,2003,0,Mm3,5
Change in Snow,HAWKES_BAY,NIWA,Annual June Year,2003,-9,Mm3,6
Change in Snow,TARANAKI,NIWA,Annual June Year,2003,0,Mm3,7
Change in Snow,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,-4,Mm3,8
Change in Snow,WELLINGTON,NIWA,Annual June Year,2003,-6,Mm3,9
Change in Snow,NORTH_ISLAND,NIWA,Annual June Year,2003,-21,Mm3,10
Change in Snow,WEST_COAST,NIWA,Annual June Year,2003,-51,Mm3,12
Change in Snow,CANTERBURY,NIWA,Annual June Year,2003,-1468,Mm3,13
Change in Snow,OTAGO,NIWA,Annual June Year,2003,-863,Mm3,14
Change in Snow,SOUTHLAND,NIWA,Annual June Year,2003,-519,Mm3,15
Change in Snow,TASMAN,NIWA,Annual June Year,2003,10,Mm3,16
Change in Snow,NELSON,NIWA,Annual June Year,2003,0,Mm3,17
Change in Snow,MARLBOROUGH,NIWA,Annual June Year,2003,-191,Mm3,18
Change in Snow,SOUTH_ISLAND,NIWA,Annual June Year,2003,-3081,Mm3,19
Change in Snow,NEW_ZEALAND,NIWA,Annual June Year,2003,-3103,Mm3,20
Change in Soil Moisture,NORTHLAND,NIWA,Annual June Year,2003,-37,Mm3,1
Change in Soil Moisture,AUCKLAND,NIWA,Annual June Year,2003,19,Mm3,2
Change in Soil Moisture,WAIKATO,NIWA,Annual June Year,2003,-117,Mm3,3
Change in Soil Moisture,BAY_OF_PLENTY,NIWA,Annual June Year,2003,-43,Mm3,4
Change in Soil Moisture,GISBORNE,NIWA,Annual June Year,2003,-143,Mm3,5
Change in Soil Moisture,HAWKES_BAY,NIWA,Annual June Year,2003,-91,Mm3,6
Change in Soil Moisture,TARANAKI,NIWA,Annual June Year,2003,53,Mm3,7
Change in Soil Moisture,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,212,Mm3,8
Change in Soil Moisture,WELLINGTON,NIWA,Annual June Year,2003,-12,Mm3,9
Change in Soil Moisture,NORTH_ISLAND,NIWA,Annual June Year,2003,-159,Mm3,10
Change in Soil Moisture,WEST_COAST,NIWA,Annual June Year,2003,376,Mm3,12
Change in Soil Moisture,CANTERBURY,NIWA,Annual June Year,2003,59,Mm3,13
Change in Soil Moisture,OTAGO,NIWA,Annual June Year,2003,-235,Mm3,14
Change in Soil Moisture,SOUTHLAND,NIWA,Annual June Year,2003,140,Mm3,15
Change in Soil Moisture,TASMAN,NIWA,Annual June Year,2003,87,Mm3,16
Change in Soil Moisture,NELSON,NIWA,Annual June Year,2003,0,Mm3,17
Change in Soil Moisture,MARLBOROUGH,NIWA,Annual June Year,2003,-12,Mm3,18
Change in Soil Moisture,SOUTH_ISLAND,NIWA,Annual June Year,2003,414,Mm3,19
Change in Soil Moisture,NEW_ZEALAND,NIWA,Annual June Year,2003,255,Mm3,20
Change in Lakes,NORTHLAND,NIWA,Annual June Year,2003,0,Mm3,1
Change in Lakes,AUCKLAND,NIWA,Annual June Year,2003,-10,Mm3,2
Change in Lakes,WAIKATO,NIWA,Annual June Year,2003,-284,Mm3,3
Change in Lakes,BAY_OF_PLENTY,NIWA,Annual June Year,2003,-37,Mm3,4
Change in Lakes,GISBORNE,NIWA,Annual June Year,2003,0,Mm3,5
Change in Lakes,HAWKES_BAY,NIWA,Annual June Year,2003,-18,Mm3,6
Change in Lakes,TARANAKI,NIWA,Annual June Year,2003,0,Mm3,7
Change in Lakes,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,-15,Mm3,8
Change in Lakes,WELLINGTON,NIWA,Annual June Year,2003,-10,Mm3,9
Change in Lakes,NORTH_ISLAND,NIWA,Annual June Year,2003,-375,Mm3,10
Change in Lakes,WEST_COAST,NIWA,Annual June Year,2003,4,Mm3,12
Change in Lakes,CANTERBURY,NIWA,Annual June Year,2003,-161,Mm3,13
Change in Lakes,OTAGO,NIWA,Annual June Year,2003,-307,Mm3,14
Change in Lakes,SOUTHLAND,NIWA,Annual June Year,2003,4,Mm3,15
Change in Lakes,TASMAN,NIWA,Annual June Year,2003,-4,Mm3,16
Change in Lakes,NELSON,NIWA,Annual June Year,2003,0,Mm3,17
Change in Lakes,MARLBOROUGH,NIWA,Annual June Year,2003,0,Mm3,18
Change in Lakes,SOUTH_ISLAND,NIWA,Annual June Year,2003,-465,Mm3,19
Change in Lakes,NEW_ZEALAND,NIWA,Annual June Year,2003,-840,Mm3,20
Evapotranspiration,NORTHLAND,NIWA,Annual June Year,2003,8211,Mm3,1
Evapotranspiration,AUCKLAND,NIWA,Annual June Year,2003,2764,Mm3,2
Evapotranspiration,WAIKATO,NIWA,Annual June Year,2003,14563,Mm3,3
Evapotranspiration,BAY_OF_PLENTY,NIWA,Annual June Year,2003,8493,Mm3,4
Evapotranspiration,GISBORNE,NIWA,Annual June Year,2003,6019,Mm3,5
Evapotranspiration,HAWKES_BAY,NIWA,Annual June Year,2003,7833,Mm3,6
Evapotranspiration,TARANAKI,NIWA,Annual June Year,2003,4193,Mm3,7
Evapotranspiration,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,10471,Mm3,8
Evapotranspiration,WELLINGTON,NIWA,Annual June Year,2003,4612,Mm3,9
Evapotranspiration,NORTH_ISLAND,NIWA,Annual June Year,2003,67159,Mm3,10
Evapotranspiration,WEST_COAST,NIWA,Annual June Year,2003,13688,Mm3,12
Evapotranspiration,CANTERBURY,NIWA,Annual June Year,2003,11598,Mm3,13
Evapotranspiration,OTAGO,NIWA,Annual June Year,2003,10916,Mm3,14
Evapotranspiration,SOUTHLAND,NIWA,Annual June Year,2003,14172,Mm3,15
Evapotranspiration,TASMAN,NIWA,Annual June Year,2003,5081,Mm3,16
Evapotranspiration,NELSON,NIWA,Annual June Year,2003,183,Mm3,17
Evapotranspiration,MARLBOROUGH,NIWA,Annual June Year,2003,3504,Mm3,18
Evapotranspiration,SOUTH_ISLAND,NIWA,Annual June Year,2003,59142,Mm3,19
Evapotranspiration,NEW_ZEALAND,NIWA,Annual June Year,2003,126301,Mm3,20
Inflow from other regions,NORTHLAND,NIWA,Annual June Year,2003,2,Mm3,1
Inflow from other regions,AUCKLAND,NIWA,Annual June Year,2003,6,Mm3,2
Inflow from other regions,WAIKATO,NIWA,Annual June Year,2003,46,Mm3,3
Inflow from other regions,BAY_OF_PLENTY,NIWA,Annual June Year,2003,5129,Mm3,4
Inflow from other regions,GISBORNE,NIWA,Annual June Year,2003,2971,Mm3,5
Inflow from other regions,HAWKES_BAY,NIWA,Annual June Year,2003,1549,Mm3,6
Inflow from other regions,TARANAKI,NIWA,Annual June Year,2003,5,Mm3,7
Inflow from other regions,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,18,Mm3,8
Inflow from other regions,WELLINGTON,NIWA,Annual June Year,2003,41,Mm3,9
Inflow from other regions,WEST_COAST,NIWA,Annual June Year,2003,6405,Mm3,12
Inflow from other regions,CANTERBURY,NIWA,Annual June Year,2003,9462,Mm3,13
Inflow from other regions,OTAGO,NIWA,Annual June Year,2003,14276,Mm3,14
Inflow from other regions,SOUTHLAND,NIWA,Annual June Year,2003,61,Mm3,15
Inflow from other regions,TASMAN,NIWA,Annual June Year,2003,1233,Mm3,16
Inflow from other regions,NELSON,NIWA,Annual June Year,2003,3,Mm3,17
Inflow from other regions,MARLBOROUGH,NIWA,Annual June Year,2003,7896,Mm3,18
Outflow to other regions,NORTHLAND,NIWA,Annual June Year,2003,0,Mm3,1
Outflow to other regions,AUCKLAND,NIWA,Annual June Year,2003,24,Mm3,2
Outflow to other regions,WAIKATO,NIWA,Annual June Year,2003,35,Mm3,3
Outflow to other regions,BAY_OF_PLENTY,NIWA,Annual June Year,2003,2775,Mm3,4
Outflow to other regions,GISBORNE,NIWA,Annual June Year,2003,6656,Mm3,5
Outflow to other regions,HAWKES_BAY,NIWA,Annual June Year,2003,219,Mm3,6
Outflow to other regions,TARANAKI,NIWA,Annual June Year,2003,1,Mm3,7
Outflow to other regions,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,56,Mm3,8
Outflow to other regions,WELLINGTON,NIWA,Annual June Year,2003,0,Mm3,9
Outflow to other regions,WEST_COAST,NIWA,Annual June Year,2003,1179,Mm3,12
Outflow to other regions,CANTERBURY,NIWA,Annual June Year,2003,22093,Mm3,13
Outflow to other regions,OTAGO,NIWA,Annual June Year,2003,85,Mm3,14
Outflow to other regions,SOUTHLAND,NIWA,Annual June Year,2003,121,Mm3,15
Outflow to other regions,TASMAN,NIWA,Annual June Year,2003,6367,Mm3,16
Outflow to other regions,NELSON,NIWA,Annual June Year,2003,54,Mm3,17
Outflow to other regions,MARLBOROUGH,NIWA,Annual June Year,2003,9439,Mm3,18
Outflow to sea and net extract,NORTHLAND,NIWA,Annual June Year,2003,12486,Mm3,1
Outflow to sea and net extract,AUCKLAND,NIWA,Annual June Year,2003,3841,Mm3,2
Outflow to sea and net extract,WAIKATO,NIWA,Annual June Year,2003,20759,Mm3,3
Outflow to sea and net extract,BAY_OF_PLENTY,NIWA,Annual June Year,2003,17381,Mm3,4
Outflow to sea and net extract,GISBORNE,NIWA,Annual June Year,2003,10670,Mm3,5
Outflow to sea and net extract,HAWKES_BAY,NIWA,Annual June Year,2003,14184,Mm3,6
Outflow to sea and net extract,TARANAKI,NIWA,Annual June Year,2003,9454,Mm3,7
Outflow to sea and net extract,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,18786,Mm3,8
Outflow to sea and net extract,WELLINGTON,NIWA,Annual June Year,2003,7647,Mm3,9
Outflow to sea and net extract,NORTH_ISLAND,NIWA,Annual June Year,2003,115207,Mm3,10
Outflow to sea and net extract,WEST_COAST,NIWA,Annual June Year,2003,129336,Mm3,12
Outflow to sea and net extract,CANTERBURY,NIWA,Annual June Year,2003,34132,Mm3,13
Outflow to sea and net extract,OTAGO,NIWA,Annual June Year,2003,38572,Mm3,14
Outflow to sea and net extract,SOUTHLAND,NIWA,Annual June Year,2003,59788,Mm3,15
Outflow to sea and net extract,TASMAN,NIWA,Annual June Year,2003,7830,Mm3,16
Outflow to sea and net extract,NELSON,NIWA,Annual June Year,2003,306,Mm3,17
Outflow to sea and net extract,MARLBOROUGH,NIWA,Annual June Year,2003,7164,Mm3,18
Outflow to sea and net extract,SOUTH_ISLAND,NIWA,Annual June Year,2003,277129,Mm3,19
Outflow to sea and net extract,NEW_ZEALAND,NIWA,Annual June Year,2003,392336,Mm3,20
Precipitation,NORTHLAND,NIWA,Annual June Year,2003,20513,Mm3,1
Precipitation,AUCKLAND,NIWA,Annual June Year,2003,6646,Mm3,2
Precipitation,WAIKATO,NIWA,Annual June Year,2003,34296,Mm3,3
Precipitation,BAY_OF_PLENTY,NIWA,Annual June Year,2003,23342,Mm3,4
Precipitation,GISBORNE,NIWA,Annual June Year,2003,20236,Mm3,5
Precipitation,HAWKES_BAY,NIWA,Annual June Year,2003,20574,Mm3,6
Precipitation,TARANAKI,NIWA,Annual June Year,2003,12515,Mm3,7
Precipitation,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,29279,Mm3,8
Precipitation,WELLINGTON,NIWA,Annual June Year,2003,11916,Mm3,9
Precipitation,NORTH_ISLAND,NIWA,Annual June Year,2003,179316,Mm3,10
Precipitation,WEST_COAST,NIWA,Annual June Year,2003,138566,Mm3,12
Precipitation,CANTERBURY,NIWA,Annual June Year,2003,55309,Mm3,13
Precipitation,OTAGO,NIWA,Annual June Year,2003,33818,Mm3,14
Precipitation,SOUTHLAND,NIWA,Annual June Year,2003,73054,Mm3,15
Precipitation,TASMAN,NIWA,Annual June Year,2003,18396,Mm3,16
Precipitation,NELSON,NIWA,Annual June Year,2003,539,Mm3,17
Precipitation,MARLBOROUGH,NIWA,Annual June Year,2003,11986,Mm3,18
Precipitation,SOUTH_ISLAND,NIWA,Annual June Year,2003,331667,Mm3,19
Precipitation,NEW_ZEALAND,NIWA,Annual June Year,2003,510983,Mm3,20
Total Change in Storage,NORTHLAND,NIWA,Annual June Year,2003,-182,Mm3,1
Total Change in Storage,AUCKLAND,NIWA,Annual June Year,2003,23,Mm3,2
Total Change in Storage,WAIKATO,NIWA,Annual June Year,2003,-1016,Mm3,3
Total Change in Storage,BAY_OF_PLENTY,NIWA,Annual June Year,2003,-178,Mm3,4
Total Change in Storage,GISBORNE,NIWA,Annual June Year,2003,-138,Mm3,5
Total Change in Storage,HAWKES_BAY,NIWA,Annual June Year,2003,-113,Mm3,6
Total Change in Storage,TARANAKI,NIWA,Annual June Year,2003,-1128,Mm3,7
Total Change in Storage,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,-16,Mm3,8
Total Change in Storage,WELLINGTON,NIWA,Annual June Year,2003,-301,Mm3,9
Total Change in Storage,NORTH_ISLAND,NIWA,Annual June Year,2003,-3049,Mm3,10
Total Change in Storage,WEST_COAST,NIWA,Annual June Year,2003,768,Mm3,12
Total Change in Storage,CANTERBURY,NIWA,Annual June Year,2003,-3052,Mm3,13
Total Change in Storage,OTAGO,NIWA,Annual June Year,2003,-1480,Mm3,14
Total Change in Storage,SOUTHLAND,NIWA,Annual June Year,2003,-966,Mm3,15
Total Change in Storage,TASMAN,NIWA,Annual June Year,2003,351,Mm3,16
Total Change in Storage,NELSON,NIWA,Annual June Year,2003,0,Mm3,17
Total Change in Storage,MARLBOROUGH,NIWA,Annual June Year,2003,-225,Mm3,18
Total Change in Storage,SOUTH_ISLAND,NIWA,Annual June Year,2003,-4604,Mm3,19
Total Change in Storage,NEW_ZEALAND,NIWA,Annual June Year,2003,-7653,Mm3,20
Total Inflows,NORTHLAND,NIWA,Annual June Year,2003,20515,Mm3,1
Total Inflows,AUCKLAND,NIWA,Annual June Year,2003,6652,Mm3,2
Total Inflows,WAIKATO,NIWA,Annual June Year,2003,34341,Mm3,3
Total Inflows,BAY_OF_PLENTY,NIWA,Annual June Year,2003,28471,Mm3,4
Total Inflows,GISBORNE,NIWA,Annual June Year,2003,23207,Mm3,5
Total Inflows,HAWKES_BAY,NIWA,Annual June Year,2003,22124,Mm3,6
Total Inflows,TARANAKI,NIWA,Annual June Year,2003,12520,Mm3,7
Total Inflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,29297,Mm3,8
Total Inflows,WELLINGTON,NIWA,Annual June Year,2003,11957,Mm3,9
Total Inflows,WEST_COAST,NIWA,Annual June Year,2003,144971,Mm3,12
Total Inflows,CANTERBURY,NIWA,Annual June Year,2003,64771,Mm3,13
Total Inflows,OTAGO,NIWA,Annual June Year,2003,48094,Mm3,14
Total Inflows,SOUTHLAND,NIWA,Annual June Year,2003,73115,Mm3,15
Total Inflows,TASMAN,NIWA,Annual June Year,2003,19629,Mm3,16
Total Inflows,NELSON,NIWA,Annual June Year,2003,542,Mm3,17
Total Inflows,MARLBOROUGH,NIWA,Annual June Year,2003,19882,Mm3,18
Total Outflows,NORTHLAND,NIWA,Annual June Year,2003,20697,Mm3,1
Total Outflows,AUCKLAND,NIWA,Annual June Year,2003,6629,Mm3,2
Total Outflows,WAIKATO,NIWA,Annual June Year,2003,35357,Mm3,3
Total Outflows,BAY_OF_PLENTY,NIWA,Annual June Year,2003,28649,Mm3,4
Total Outflows,GISBORNE,NIWA,Annual June Year,2003,23345,Mm3,5
Total Outflows,HAWKES_BAY,NIWA,Annual June Year,2003,22236,Mm3,6
Total Outflows,TARANAKI,NIWA,Annual June Year,2003,13648,Mm3,7
Total Outflows,MANAWATU_WHANGANUI,NIWA,Annual June Year,2003,29313,Mm3,8
Total Outflows,WELLINGTON,NIWA,Annual June Year,2003,12258,Mm3,9
Total Outflows,WEST_COAST,NIWA,Annual June Year,2003,144203,Mm3,12
Total Outflows,CANTERBURY,NIWA,Annual June Year,2003,67823,Mm3,13
Total Outflows,OTAGO,NIWA,Annual June Year,2003,49573,Mm3,14
Total Outflows,SOUTHLAND,NIWA,Annual June Year,2003,74081,Mm3,15
Total Outflows,TASMAN,NIWA,Annual June Year,2003,19278,Mm3,16
Total Outflows,NELSON,NIWA,Annual June Year,2003,542,Mm3,17
Total Outflows,MARLBOROUGH,NIWA,Annual June Year,2003,20107,Mm3,18
change in Groundwater,NORTHLAND,GNS,Annual June Year,2003,-145,Mm3,1
change in Groundwater,AUCKLAND,GNS,Annual June Year,2003,14,Mm3,2
change in Groundwater,WAIKATO,GNS,Annual June Year,2003,-613,Mm3,3
change in Groundwater,BAY_OF_PLENTY,GNS,Annual June Year,2003,-98,Mm3,4
change in Groundwater,GISBORNE,GNS,Annual June Year,2003,5,Mm3,5
change in Groundwater,HAWKES_BAY,GNS,Annual June Year,2003,5,Mm3,6
change in Groundwater,TARANAKI,GNS,Annual June Year,2003,-1181,Mm3,7
change in Groundwater,MANAWATU_WHANGANUI,GNS,Annual June Year,2003,-210,Mm3,8
change in Groundwater,WELLINGTON,GNS,Annual June Year,2003,-273,Mm3,9
change in Groundwater,NORTH_ISLAND,GNS,Annual June Year,2003,-2496,Mm3,10
change in Groundwater,WEST_COAST,GNS,Annual June Year,2003,-139,Mm3,12
change in Groundwater,CANTERBURY,GNS,Annual June Year,2003,-2219,Mm3,13
change in Groundwater,OTAGO,GNS,Annual June Year,2003,-156,Mm3,14
change in Groundwater,SOUTHLAND,GNS,Annual June Year,2003,-615,Mm3,15
change in Groundwater,TASMAN,GNS,Annual June Year,2003,258,Mm3,16
change in Groundwater,NELSON,GNS,Annual June Year,2003,0,Mm3,17
change in Groundwater,MARLBOROUGH,GNS,Annual June Year,2003,-22,Mm3,18
change in Groundwater,SOUTH_ISLAND,GNS,Annual June Year,2003,-2893,Mm3,19
change in Groundwater,NEW_ZEALAND,GNS,Annual June Year,2003,-5389,Mm3,20
Change in Ice Volume,NORTHLAND,NIWA,Annual June Year,2004,,Mm3,1
Change in Ice Volume,AUCKLAND,NIWA,Annual June Year,2004,,Mm3,2
Change in Ice Volume,WAIKATO,NIWA,Annual June Year,2004,0,Mm3,3
Change in Ice Volume,BAY_OF_PLENTY,NIWA,Annual June Year,2004,,Mm3,4
Change in Ice Volume,GISBORNE,NIWA,Annual June Year,2004,,Mm3,5
Change in Ice Volume,HAWKES_BAY,NIWA,Annual June Year,2004,,Mm3,6
Change in Ice Volume,TARANAKI,NIWA,Annual June Year,2004,,Mm3,7
